name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai,66.7k,734.8k,5.6k,213,11.3k
Accenture,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin,42.5k,513.4k,3.8k,4.1k,7k
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey.,38.4k,496.8k,3.3k,497,5.7k
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru,35.4k,370.3k,3.3k,316,4.9k
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai,30.9k,136.1k,1.7k,214,3.7k
HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai,30.6k,123.6k,1.4k,376,3.2k
Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore,29.1k,413.1k,4.5k,779,5k
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris,27k,336.6k,2.3k,512,3.9k
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune,25.3k,236.3k,2.2k,1.1k,3.5k
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida,24.8k,251.9k,2.2k,574,4k
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York,24.3k,176.6k,1.8k,730,3.6k
Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai,20.3k,94.1k,1k,295,2.1k
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont,20k,99.4k,987,171,3.2k
Amazon,4.1,Internet,1 Lakh+ Employees,Public,29 years old,Seattle,19.2k,116.9k,3.2k,689,4.1k
Reliance Jio,3.9,Telecom,50k-1 Lakh Employees,Public,16 years old,Navi Mumbai,18.5k,63.6k,1.1k,162,2.5k
IBM,4.1,Software Product,50k-1 Lakh Employees,Public,112 years old,Armonk,18.5k,197.4k,1.4k,2k,2.7k
Larsen & Toubro Limited,4.0,Engineering & Construction,10k-50k Employees,Public,85 years old,Mumbai,17.4k,76.6k,964,160,2.9k
Reliance Retail,3.9,Retail,1 Lakh+ Employees,N/A,17 years old,Navi Mumbai,16.7k,54.7k,1k,259,1.9k
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,N/A,16 years old,Ahmedabad,16.3k,49.1k,524,111,1.5k
Teleperformance,3.6,BPO,50k-1 Lakh Employees,Forbes Global 2000,45 years old,Paris,15.8k,73.6k,1.1k,243,1.9k
Vodafone Idea,4.2,N/A,5k-10k Employees,Public,5 years old,Mumbai,14.6k,62.4k,400,361,2k
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,12 years old,Bangalore,13.5k,50.3k,1.7k,885,1.9k
Deloitte,4.0,Accounting & Auditing,1 Lakh+ Employees,N/A,178 years old,London,13.4k,138.6k,1.5k,291,2.5k
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,20 years old,Mumbai,13k,74.4k,668,227,1.3k
Reliance Industries,4.0,Oil & Gas | Public,N/A,Public,46 years old,Navi Mumbai,12.2k,63.5k,862,83,1.9k
Bharti Airtel,4.0,Telecom,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram,11.3k,44.2k,528,281,1.6k
Tata Motors,4.2,Automobile,10k-50k Employees,Public,78 years old,Pune,10.4k,42.1k,679,18,1.7k
Flipkart,4.1,Internet,10k-50k Employees,Public,16 years old,Bangalore,9k,44.2k,945,375,1.5k
WNS,3.5,BPO,10k-50k Employees,N/A,27 years old,Mumbai,8.9k,51.9k,677,227,1.4k
iEnergizer,4.5,BPO,10k-50k Employees,N/A,23 years old,Noida,8.7k,17.7k,276,86,499
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram,8.4k,43.7k,376,250,799
Mahindra & Mahindra,4.1,Automobile,1 Lakh+ Employees,Public,78 years old,Mumbai,8.3k,37.6k,438,94,1.2k
Ernst & Young,3.6,Accounting & Auditing,50k-1 Lakh Employees,N/A,21 years old,London,8.1k,105.5k,723,1.8k,1.3k
Infosys BPM,3.9,BPO,10k-50k Employees,N/A,21 years old,Bangalore/Bengaluru,7.7k,53.6k,625,37,1.1k
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,6 years old,Minato,7.6k,75.6k,511,63,1.1k
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,5 years old,Mumbai,7.3k,37.7k,382,84,719
Conneqt Business Solutions,3.7,IT Services & Consulting,10k-50k Employees,N/A,21 years old,Mumbai,7.1k,24.9k,287,31,791
LTIMindtree,3.7,IT Services & Consulting,50k-1 Lakh Employees,Public,24 years old,Bangalore/Bengaluru,6.7k,78.3k,835,35,845
Bajaj Finserv,4.0,Insurance,10k-50k Employees,Public,16 years old,Pune,6.6k,23.9k,307,48,743
Hinduja Global Solutions,3.9,Software Product,10k-50k Employees,Public,23 years old,Bangalore/Bengaluru,6.4k,26.2k,156,53,1k
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,21 years old,Pune,6.4k,55.4k,333,25,1.2k
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,25 years old,Bangalore/Bengaluru,6.4k,58.6k,439,94,867
PwC,3.6,Accounting & Auditing,10k-50k Employees,Conglomerate,143 years old,London,6.3k,65.8k,730,506,853
Startek,3.2,BPO,10k-50k Employees,Public,6 years old,Mumbai,6.3k,23.2k,291,37,698
HDFC Life,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai,6.2k,23.4k,326,93,630
Ericsson,4.3,N/A,10k-50k Employees,Forbes Global 2000,147 years old,Stockholm,6.2k,43.3k,253,10,1k
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,42 years old,New Delhi,6.1k,25.7k,410,41,1.1k
Yes Bank,3.9,Banking,10k-50k Employees,Public,19 years old,Mumbai,5.8k,39.2k,279,28,628
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,81 years old,Mumbai,5.8k,20.6k,421,117,901
Dr. Reddy's,4.1,N/A,10k-50k Employees,Public,39 years old,Hyderabad/Secunderabad,5.7k,23.5k,246,93,881
Cipla Pharmaceutical,4.1,Pharma,10k-50k Employees,Public,88 years old,Mumbai,5.7k,23.3k,330,24,882
Sutherland Global Services,3.8,IT Services & Consulting,10k-50k Employees,N/A,37 years old,Pittsford,5.6k,26.3k,328,178,934
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,N/A,35 years old,Chiyoda City,5.4k,48.7k,391,112,769
EXL Service,3.8,Analytics & KPO,10k-50k Employees,N/A,24 years old,New York City,5.3k,32.5k,403,462,842
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai,5.3k,20.7k,263,264,630
Jana Small Finance Bank,3.8,Banking,10k-50k Employees,Public,17 years old,Bangalore/Bengaluru,5.2k,15.5k,162,113,616
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,40 years old,Mumbai,5.2k,20.3k,320,13,645
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,22 years old,Kolkata,5.2k,18.2k,330,21,530
Paytm,3.5,FinTech,10k-50k Employees,Public,13 years old,Noida,5.2k,27.5k,389,605,578
HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,N/A,47 years old,Chennai,5.1k,70.2k,258,1,688
Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai,5.1k,21.6k,229,22,813
AU Small Finance Bank,4.2,Banking,10k-50k Employees,Fortune India 500,27 years old,Jaipur,5k,17.2k,256,156,443
Udaan,4.0,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore,5k,19.1k,283,289,786
Bajaj Finance,4.1,NBFC,10k-50k Employees,N/A,36 years old,Pune,5k,19.1k,205,99,513
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi,4.9k,10.3k,103,--,752
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai,4.9k,67.1k,382,138,876
Zydus Lifesciences,4.1,Pharma,10k-50k Employees,Public,71 years old,Ahmedabad,4.8k,16.8k,196,48,675
ITC,3.9,FMCG,10k-50k Employees,Public,48 years old,Kolkata,4.8k,21.8k,367,78,719
Wells Fargo,4.1,Banking,10k-50k Employees,Public,171 years old,San Francisco,4.7k,39.6k,299,117,896
JP Morgan Chase,4.2,Financial Services,50k-1 Lakh Employees,Forbes Global 2000,23 years old,New York,4.7k,59.2k,372,1.1k,900
Delhivery,4.0,N/A,10k-50k Employees,Fortune India 500,12 years old,Delhi,4.6k,15.8k,276,421,656
FIS,3.9,FinTech,10k-50k Employees,N/A,55 years old,Jacksonville,4.6k,37.1k,281,67,780
Hindustan Unilever,4.2,FMCG,10k-50k Employees,Public,151 years old,London,4.6k,20.6k,225,188,685
Amazon Development Centre India,4.2,Internet,10k-50k Employees,N/A,N/A,N/A,4.5k,4.8k,338,30,44
IIFL Finance,3.9,Financial Services,10k-50k Employees,Public,28 years old,Mumbai,4.5k,17.3k,201,134,437
Quess,4.0,Recruitment,1 Lakh+ Employees,Public,16 years old,Bangalore,4.5k,22k,250,238,457
TATA Steel,4.2,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai,4.4k,20.2k,414,41,653
Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,33 years old,Mumbai,4.3k,41.2k,356,336,579
KPMG India,3.6,Management Consulting,10k-50k Employees,N/A,36 years old,Bengaluru/Bangalore,4.3k,53.5k,466,484,778
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,40 years old,Mumbai,4.3k,19.3k,219,113,632
Home Credit Finance,4.1,Financial Services,10k-50k Employees,N/A,11 years old,Gurugram,4.2k,11.8k,91,101,627
JSW Steel,3.9,Iron & Steel,10k-50k Employees,Public,41 years old,Mumbai,4.2k,22.6k,327,67,618
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,6 years old,Bangalore/Bengaluru,4.1k,12.3k,139,19,594
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,158 years old,Mumbai,4.1k,15k,220,28,656
Oracle,3.9,Software Product,50k-1 Lakh Employees,Public,46 years old,Austin,4.1k,49k,490,184,633
OPPO,3.9,Consumer Electronics & Appliances,10k-50k Employees,Public,19 years old,Dongguan,4.1k,13.7k,162,9,648
Max Life Insurance,4.1,Insurance,10k-50k Employees,N/A,23 years old,Gurgaon/Gurugram,4.1k,15.5k,175,407,506
Aurobindo Pharma,4.0,Pharma,10k-50k Employees,Public,37 years old,Hyderabad/Secunderabad,4k,21.4k,161,5,489
Muthoot Finance,3.5,NBFC,10k-50k Employees,Public,84 years old,Kochi/Cochin,4k,11.5k,153,278,331
eClerx,3.5,IT Services & Consulting,10k-50k Employees,Public,23 years old,Mumbai,4k,25.8k,287,133,580
Ashok Leyland,4.1,Automobile,10k-50k Employees,Public,75 years old,Chennai,4k,18.5k,146,2,673
Shriram Transport Finance,4.1,NBFC,10k-50k Employees,Public,44 years old,Mumbai,4k,9k,146,--,496
Capgemini Technology Services India Limited,4.0,IT Services & Consulting,1 Lakh+ Employees,N/A,N/A,N/A,4k,41.7k,333,2,453
Tata Projects,4.2,Engineering & Construction,5k-10k Employees,Public,44 years old,Mumbai,4k,19k,251,38,557
Apollo Hospitals,4.1,Healthcare,10k-50k Employees,Public,40 years old,Chennai,3.9k,15.3k,183,65,519
Siemens,4.2,Power,5k-10k Employees,Public,176 years old,Munich,3.9k,26.6k,234,1.3k,653
Vivo,4.0,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,14 years old,Gurgaon/Gurugram,3.9k,14.1k,139,2,655
JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,26 years old,Mumbai,3.9k,19k,194,34,566
First Source,3.8,BPO,10k-50k Employees,Public,22 years old,Mumbai,3.8k,19.4k,165,126,593
L&T Construction,4.0,Engineering & Construction,10k-50k Employees,Public,79 years old,Chennai,3.8k,13.2k,404,--,800
JustDial,3.5,Internet,10k-50k Employees,Public,27 years old,Mumbai,3.8k,15.1k,214,131,382
Hero MotoCorp,4.1,Automobile,5k-10k Employees,Public,39 years old,Gurgaon/Gurugram,3.7k,14k,238,7,604
Hewlett-Packard Enterprise,4.3,Emerging Technologies,10k-50k Employees,Forbes Global 2000,8 years old,Houston,3.7k,31k,170,54,623
Omega Healthcare,3.7,Healthcare,10k-50k Employees,N/A,20 years old,Florida,3.7k,19.3k,194,86,408
Megha Engineering & Infrastructures,4.1,Engineering & Construction,5k-10k Employees,Conglomerate,34 years old,Hyderabad/Secunderabad,3.6k,13.8k,265,27,555
Mahindra & Mahindra Financial Services,4.3,NBFC,10k-50k Employees,Public,32 years old,Mumbai,3.6k,10k,89,57,509
Cyient,3.7,IT Services & Consulting,10k-50k Employees,Public,32 years old,Hyderabad/Secunderabad,3.6k,24.8k,163,261,487
Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,N/A,22 years old,Pune,3.6k,14.2k,186,36,480
D Mart,3.9,Retail,10k-50k Employees,Fortune India 500,23 years old,Mumbai,3.5k,13.5k,220,75,482
Hyundai Motor,4.3,Automobile,10k-50k Employees,Fortune India 500,56 years old,Seoul,3.5k,13.2k,172,21,567
Indiamart Intermesh,3.6,Internet,1k-5k Employees,N/A,27 years old,Noida,3.4k,16.2k,339,921,441
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,12 years old,Bangalore,3.4k,14.5k,234,17,438
TVS Motor,4.0,Automobile,5k-10k Employees,Public,44 years old,Chennai,3.4k,13.8k,188,19,536
Reliance Communications,3.9,Telecom,201-500 Employees,Public,21 years old,Navi Mumbai,3.4k,13.2k,59,2,373
Atos Syntel,3.6,IT Services & Consulting,5k-10k Employees,N/A,43 years old,Troy,3.3k,34.2k,168,42,538
Bosch,4.3,Auto Components,10k-50k Employees,Public,137 years old,Gerlingen,3.3k,17.9k,199,10,624
Standard Chartered Bank,3.9,Banking,10k-50k Employees,Fortune India 500,54 years old,London,3.3k,24.7k,114,31,319
Manappuram Finance,3.9,NBFC,10k-50k Employees,Public,74 years old,Thrissur/Trichur,3.3k,7.7k,93,16,263
UST,3.9,IT Services & Consulting,10k-50k Employees,N/A,22 years old,Aliso Viejo,3.3k,33k,251,129,453
Bosch Global Software Technologies,4.2,Software Product,10k-50k Employees,N/A,33 years old,Gerlingen,3.3k,30.4k,192,5,714
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon,3.3k,25.2k,154,170,392
SBI Cards & Payment Services,3.7,N/A,1k-5k Employees,N/A,25 years old,Gurgaon/Gurugram,3.3k,15.5k,158,87,349
Coforge,3.6,IT Services & Consulting,10k-50k Employees,Public,19 years old,Noida,3.2k,29.4k,241,167,317
Cummins,4.4,Auto Components,5k-10k Employees,Fortune India 500,61 years old,Columbus,3.2k,14.3k,170,33,481
BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,19 years old,New York City,3.2k,26.3k,178,550,554
Nagarro,4.2,IT Services & Consulting,10k-50k Employees,N/A,27 years old,Munich,3.2k,18.8k,401,63,1.2k
Virtusa Consulting Services,3.8,IT Services & Consulting,10k-50k Employees,N/A,27 years old,Southborough,3.2k,43.1k,272,105,334
BT Group,4.1,Telecom,10k-50k Employees,Forbes Global 2000,177 years old,London,3.2k,10.5k,86,33,310
IQVIA,4.1,Clinical Research,10k-50k Employees,Forbes Global 2000,41 years old,Durham,3.2k,23k,256,33,548
GlobalLogic,3.8,IT Services & Consulting,10k-50k Employees,N/A,23 years old,San Jose,3.2k,28.4k,274,75,542
SMFG India Credit,4.1,NBFC,10k-50k Employees,N/A,16 years old,Mumbai,3.2k,10.2k,85,--,348
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai,3.2k,15.8k,149,164,375
Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,41 years old,Chesterfield,3.2k,30.2k,316,14,664
Schneider Electric,4.1,Industrial Automation,10k-50k Employees,Forbes Global 2000,24 years old,Paris,3.1k,19.1k,191,186,481
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,10 years old,Mumbai,3.1k,12.6k,63,27,419
Intelenet Global Services,3.7,BPO,10k-50k Employees,N/A,23 years old,Mumbai,3.1k,9.5k,33,--,489
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,117 years old,Los Angeles,3.1k,15k,139,116,476
Samsung,4.1,Consumer Electronics & Appliances,5k-10k Employees,Public,85 years old,Seoul,3k,15.8k,290,158,534
L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,11 years old,Vadodara/Baroda,3k,27.9k,235,2,458
State Bank of India,3.7,Banking,1 Lakh+ Employees,Fortune India 500,217 years old,Mumbai,3k,10.2k,144,183,399
Dell,4.1,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,39 years old,Round Rock,3k,24.2k,227,87,565
Cholamandalam Investment & Finance,4.1,NBFC,5k-10k Employees,Fortune India 500,45 years old,Chennai,3k,8.8k,97,14,309
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,9 years old,Bangalore,3k,17.9k,222,373,364
JBM Group,4.0,Auto Components,1k-5k Employees,Public,40 years old,Gurgaon/Gurugram,3k,13k,167,1,385
Ecom Express,4.1,Logistics,10k-50k Employees,N/A,11 years old,Gurgaon,3k,8.4k,125,60,333
Bajaj Auto,3.8,Automobile,5k-10k Employees,Public,78 years old,Pune,2.9k,12.7k,168,3,557
Ekart Logistics,4.0,Logistics,5k-10k Employees,N/A,14 years old,San Francisco,2.9k,7.5k,191,--,362
SBI Life Insurance Company,3.8,Insurance,10k-50k Employees,N/A,22 years old,Mumbai,2.9k,9.8k,140,7,329
Optum,4.0,Healthcare,10k-50k Employees,N/A,46 years old,Prairie,2.9k,21.1k,247,24,564
KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,78 years old,Mumbai,2.9k,10.3k,183,5,450
Equitas Small Finance Bank,4.1,Banking,10k-50k Employees,Fortune India 500,16 years old,Chennai,2.9k,10.9k,100,5,390
Nagarjuna Construction Company,4.1,Engineering & Construction,5k-10k Employees,Public,25 years old,Hyderabad/Secunderabad,2.9k,10.3k,183,3,412
Aditya Birla Fashion and Retail,4.2,Retail,10k-50k Employees,Fortune India 500,8 years old,Mumbai,2.9k,11.5k,103,50,425
Viatris,4.3,Pharma,10k-50k Employees,Forbes Global 2000,62 years old,Canonsburg,2.9k,14.2k,91,3,524
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,37 years old,Noida,2.8k,13.9k,153,57,414
Muthoot Fincorp,4.0,NBFC,10k-50k Employees,Conglomerate,136 years old,Trivandrum/Thiruvananthapuram,2.8k,7.8k,85,68,283
Godrej & Boyce Manufacturing,3.9,Engineering & Construction,10k-50k Employees,Fortune India 500,126 years old,Mumbai,2.8k,16.5k,119,40,426
Piramal Capital Housing Finance,4.3,NBFC,1k-5k Employees,N/A,3 years old,Mumbai,2.8k,8.8k,121,21,271
Royal Enfield,4.2,Automobile,10k-50k Employees,N/A,122 years old,Gurgaon/Gurugram,2.8k,14.1k,96,12,415
Tata Communications,4.1,Telecom,5k-10k Employees,Public,37 years old,Mumbai,2.8k,21.4k,161,415,430
L&T Finance,4.0,NBFC,10k-50k Employees,Public,29 years old,Mumbai,2.8k,10.5k,72,--,268
John Deere,4.3,IT Services & Consulting,5k-10k Employees,Fortune India 500,22 years old,Moline,2.8k,13.3k,142,13,430
LG Electronics,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,65 years old,Seoul,2.8k,10.1k,138,6,413
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,23 years old,Ahmedabad,2.7k,14.1k,129,58,397
Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,5 years old,Mumbai,2.7k,9.4k,278,514,972
Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,57 years old,Pune,2.7k,11.6k,142,23,380
Varun Beverages,4.0,Beverage,5k-10k Employees,Public,28 years old,Gurgaon/Gurugram,2.7k,9k,130,53,331
Hetero Drugs,3.8,Pharma,1k-5k Employees,N/A,30 years old,Hyderabad/Secunderabad,2.6k,13.3k,139,21,340
Deutsche Bank,4.1,Banking,10k-50k Employees,Fortune India 500,153 years old,Frankfurt,2.6k,28.4k,200,702,414
Ford Motor,4.4,Automobile,5k-10k Employees,Public,120 years old,Dearborn,2.6k,14k,73,61,397
Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,15 years old,Issy les Moulineaux,2.6k,9.7k,93,87,380
Randstad,3.9,N/A,1k-5k Employees,Conglomerate,31 years old,Chennai,2.6k,12.5k,159,2.3k,341
Abbott Healthcare,4.1,Pharma,10k-50k Employees,Public,32 years old,Illinois City,2.6k,10.3k,98,118,377
Subros,3.9,Auto Components,1k-5k Employees,Public,38 years old,Noida,2.6k,12.2k,102,1,403
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,40 years old,Noida,2.6k,11.7k,119,82,328
Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,37 years old,Mumbai,2.6k,13k,107,14,364
UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,46 years old,Minnetonka,2.6k,23.2k,62,10,438
VE Commercial Vehicles,4.0,Automobile,1k-5k Employees,N/A,15 years old,Gurgaon/Gurugram,2.6k,12.1k,128,2,370
American Express,4.3,Financial Services,10k-50k Employees,Forbes Global 2000,173 years old,New York City,2.5k,18.6k,203,115,446
CARS24,3.6,Internet,5k-10k Employees,Indian Unicorn,8 years old,Gurgaon,2.5k,11.4k,205,317,419
Persistent Systems,3.9,IT Services & Consulting,10k-50k Employees,Public,33 years old,Pune,2.5k,26.9k,283,45,401
Automatic Data Processing (ADP),4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,74 years old,New Jersey,2.5k,19k,133,35,474
Team Lease,3.9,Recruitment,1k-5k Employees,Public,7 years old,Bangalore/Bengaluru,2.5k,13.5k,122,241,224
Pidilite Industries,4.3,Chemicals,5k-10k Employees,Public,64 years old,Mumbai,2.5k,8.7k,122,31,369
Cgi Group,4.2,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,47 years old,Montreal,2.5k,29.9k,153,148,412
Atos,3.8,IT Services & Consulting,201-500 Employees,Forbes Global 2000,26 years old,Vilnius,2.4k,25.8k,170,6,359
Bharat Electronics,4.1,Consumer Electronics & Appliances,5k-10k Employees,Fortune India 500,69 years old,Bangalore/Bengaluru,2.4k,11.2k,141,--,324
Alembic Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,116 years old,Vadodara/Baroda,2.4k,12.9k,143,53,395
Alkem Laboratories,3.9,Pharma,10k-50k Employees,Public,50 years old,Mumbai,2.4k,8.6k,108,20,347
Publicis Sapient,3.6,IT Services & Consulting,10k-50k Employees,N/A,33 years old,New York,2.4k,24.7k,292,188,411
Indian Air Force,4.6,Defence & Aerospace,1 Lakh+ Employees,N/A,91 years old,New Delhi,2.4k,5.1k,30,--,374
Hindalco Industries,4.2,Metals & Mining,10k-50k Employees,Public,65 years old,Mumbai,2.4k,9.3k,115,6,339
Wipro Infotech,4.1,IT Services & Consulting,1 Lakh+ Employees,MNC,78 years old,Bangalore,2.4k,18.6k,100,--,294
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,N/A,26 years old,Bangalore,2.4k,7.1k,80,77,384
DCB Bank,3.9,Banking,5k-10k Employees,Fortune India 500,93 years old,Mumbai,2.4k,8.4k,118,40,252
Wipro Consumer Care & Lighting,3.8,FMCG,1k-5k Employees,N/A,78 years old,Bangalore/Bengaluru,2.4k,2.7k,40,31,283
Access Healthcare,3.9,IT Services & Consulting,5k-10k Employees,N/A,12 years old,Dallas,2.4k,16.7k,129,71,281
R1 RCM,3.9,BPO,5k-10k Employees,N/A,20 years old,Murray,2.4k,14.5k,173,31,367
Vishal Mega Mart,3.8,Retail,10k-50k Employees,N/A,15 years old,Gurgaon/Gurugram,2.4k,6.6k,107,10,275
ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,35 years old,Zurich,2.3k,14.5k,119,--,352
Axis Direct,3.9,Financial Services,1k-5k Employees,N/A,12 years old,San Mateo,2.3k,7.4k,56,23,224
Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,46 years old,Mumbai,2.3k,10.6k,80,36,326
CMS IT Services,3.1,IT Services & Consulting,5k-10k Employees,Startup,9 years old,Bangalore,2.3k,11.1k,85,10,193
Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,74 years old,Mumbai,2.3k,10.4k,103,33,262
Tata AIA Life Insurance,4.1,Insurance,10k-50k Employees,N/A,22 years old,Mumbai,2.3k,10.4k,111,--,300
Maersk,4.3,Logistics,10k-50k Employees,N/A,119 years old,Copenhagen,2.3k,15.4k,98,98,444
NatWest Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,N/A,N/A,2.3k,19k,108,21,370
ITC Infotech,3.5,IT Services & Consulting,10k-50k Employees,N/A,23 years old,Bangalore/Bengaluru,2.3k,25.2k,189,103,287
Bank of America,4.4,Banking,10k-50k Employees,Fortune India 500,25 years old,Charlotte,2.3k,21.7k,131,27,429
DTDC Express,3.8,Logistics,1k-5k Employees,N/A,33 years old,Bangalore/Bengaluru,2.3k,8k,92,65,268
MRF Tyres,3.7,Auto Components,10k-50k Employees,Public,77 years old,Chennai,2.3k,10.3k,202,13,371
Aarti Industries,4.1,Agro Chemicals,5k-10k Employees,Public,48 years old,Mumbai,2.3k,12k,195,42,380
Honda Motorcycle & Scooter,4.2,Automobile,5k-10k Employees,N/A,24 years old,Gurgaon/Gurugram,2.3k,11.2k,95,--,366
Aakash Educational Services,3.6,EdTech,10k-50k Employees,N/A,35 years old,New Delhi,2.3k,10.1k,167,161,216
Paras Hospital,4.6,Healthcare,5k-10k Employees,N/A,17 years old,Gurgaon/Gurugram,2.3k,2.6k,41,48,149
24/7 Customer,3.6,BPO,5k-10k Employees,N/A,23 years old,San Jose,2.2k,14.7k,145,23,434
Reliance Nippon Life Insurance,3.9,Insurance,10k-50k Employees,N/A,23 years old,Mumbai,2.2k,8.3k,92,3,232
Jindal Steel and Power,3.9,Iron & Steel,5k-10k Employees,Fortune India 500,44 years old,Delhi/NCR,2.2k,11.9k,186,13,329
Berger Paints,3.7,Chemicals,1k-5k Employees,Public,100 years old,Kolkata,2.2k,7.7k,179,49,281
Conduent,3.6,BPO,5k-10k Employees,N/A,6 years old,Florham Park,2.2k,19k,116,88,385
HDFC Ergo General Insurance,4.0,Insurance,10k-50k Employees,Public,21 years old,Mumbai,2.2k,9.3k,87,44,280
Utkarsh Small Finance Bank,3.9,Banking,10k-50k Employees,Public,14 years old,Varanasi,2.2k,8.4k,140,30,272
Indiabulls Home Loans,3.8,NBFC,5k-10k Employees,Public,18 years old,Gurgaon/Gurugram,2.2k,8.9k,82,2,121
PolicyBazaar,3.4,Internet,10k-50k Employees,Public,15 years old,Gurgaon,2.2k,12k,154,100,240
RBL Bank,3.7,Banking,10k-50k Employees,Public,80 years old,Mumbai,2.2k,14.6k,110,106,222
GATI-KWE,4.0,Logistics,1k-5k Employees,N/A,11 years old,Hyderabad/Secunderabad,2.2k,6.3k,76,31,291
Escorts Kubota Limited,4.1,Automobile,1k-5k Employees,Public,63 years old,Faridabad,2.2k,9.9k,119,--,267
