name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Evolent Health International,4.0,Software Product,501-1k Employees,Public,12 years old,Arlington,230,1.4k,18,18,39
HYT Engineering,3.3,Industrial Machinery,201-500 Employees,N/A,46 years old,Pune,229,1.1k,15,24,31
CSC,4.0,N/A,N/A,N/A,N/A,N/A,229,525,1,1,1
MapmyIndia,3.7,Software Product,201-500 Employees,Public,31 years old,Delhi,229,1.6k,13,2,24
Dee Piping System,4.3,Oil & Gas,1k-5k Employees,N/A,40 years old,Palwal,229,1.3k,15,3,26
Siemens Healthcare,4.4,Healthcare,1k-5k Employees,N/A,127 years old,Erlangen,229,2.1k,5,32,42
Roki Minda Co,4.5,Auto Components,51-200 Employees,N/A,13 years old,Bawal,229,859,6,--,29
Gtpl Hathway,4.1,Media & Entertainment,1k-5k Employees,Public,17 years old,Ahmedabad,229,1.4k,18,16,23
Nitco,4.3,Building Material,1k-5k Employees,Public,70 years old,Mumbai,229,1.4k,6,1,28
Globtier Infotech,3.6,IT Services & Consulting,501-1k Employees,N/A,18 years old,Noida,229,1.6k,12,5,19
Arvind Fashions,3.8,Fashion & Textile,1k-5k Employees,Public,30 years old,Bangalore/Bengaluru,229,1.2k,12,1,24
Tradebulls,2.9,Financial Services,11-50 Employees,N/A,14 years old,Mumbai,229,1.4k,12,13,17
Altruist Customer Management India,3.4,BPO,10k-50k Employees,N/A,13 years old,Panchkula,229,1.3k,7,5,20
Desun Hospital & Heart Institute,3.6,Healthcare,1k-5k Employees,N/A,15 years old,Kolkata,229,823,9,15,25
Ruby Hall Clinic,3.9,Healthcare,201-500 Employees,N/A,64 years old,Pune,228,859,5,--,29
Sundaram Auto Components,4.0,Auto Components,501-1k Employees,Public,43 years old,Bhiwadi,228,1.1k,10,--,31
Louis Philippe,4.2,Fashion & Textile,1k-5k Employees,N/A,34 years old,Bangalore/Bengaluru,228,717,6,--,29
Tata ClassEdge,3.7,EdTech,501-1k Employees,Public,12 years old,Mumbai,228,963,8,13,34
Sangeetha Mobile,3.9,Internet,1k-5k Employees,N/A,49 years old,Bangalore/Bengaluru,228,1.3k,12,--,32
QBurst Technologies,4.5,IT Services & Consulting,1k-5k Employees,N/A,19 years old,Chantilly,228,1.7k,34,83,47
QSpiders,3.7,Education & Training,1k-5k Employees,N/A,20 years old,Bangalore/Bengaluru,228,1.2k,32,--,19
Nesma & Partners,4.3,Engineering & Construction,51-200 Employees,N/A,42 years old,Jeddah,228,535,7,--,32
Moody's Analytics,3.6,Analytics & KPO,501-1k Employees,N/A,16 years old,New York,228,2.7k,12,34,22
Highway Industries,4.0,Engineering & Construction,1k-5k Employees,N/A,52 years old,Ludhiana,228,1.2k,10,--,30
ACB (India),3.7,Oil & Gas,201-500 Employees,Public,26 years old,Gurgaon/Gurugram,228,1.5k,8,1,35
DigiCall Teleservices,3.9,Telecom,501-1k Employees,N/A,28 years old,Johannesburg,228,492,1,--,25
UCO Bank,3.6,Banking,10k-50k Employees,Public,80 years old,Kolkata,228,773,13,--,35
Tommy Hilfiger,4.3,Fashion & Textile,1k-5k Employees,N/A,38 years old,Amsterdam,228,1k,9,--,25
Bird Worldwide Flight Services,3.5,Aviation,1k-5k Employees,N/A,24 years old,New Delhi,228,913,14,1,32
Sri Sri Tattva,3.8,FMCG,201-500 Employees,N/A,20 years old,Bangalore/Bengaluru,228,1.1k,8,28,19
Atyati Technologies,4.4,IT Services & Consulting,501-1k Employees,N/A,17 years old,Bangalore,228,1.1k,13,26,37
Concord Biotech,3.7,Pharma,501-1k Employees,Public,23 years old,Ahmedabad,228,1.6k,12,1,23
Ajio Business,3.6,N/A,N/A,N/A,N/A,N/A,228,498,12,--,10
Volkswagen Group Technology Solution,3.8,Software Product,1k-5k Employees,N/A,7 years old,Pune,228,1.2k,30,3,5
Berkadia,4.0,Real Estate,501-1k Employees,N/A,14 years old,New York,227,1.7k,12,8,37
A-1 Fence Products,4.0,Industrial Machinery,201-500 Employees,N/A,25 years old,Mumbai,227,746,17,--,51
Espire Infolabs,2.9,IT Services & Consulting,501-1k Employees,N/A,22 years old,Gurgaon/Gurugram,227,1.9k,12,66,29
Globus Infocom,4.9,IT Services & Consulting,201-500 Employees,Conglomerate,22 years old,Noida,227,524,5,4,26
MAQ Software,2.4,IT Services & Consulting,501-1k Employees,N/A,23 years old,Redmond,227,1.9k,31,17,24
Premium Transmission,3.7,Industrial Machinery,501-1k Employees,N/A,62 years old,Pune,227,1.5k,13,12,37
Bharat Rasayan,4.0,Agro Chemicals,501-1k Employees,Public,34 years old,Delhi/NCR,227,1.4k,10,--,42
Agarwal Packers and Movers Limited,3.5,Logistics,5k-10k Employees,Public,36 years old,Delhi/NCR,227,1.3k,10,27,17
Manipal Technologies,3.8,Printing & Publishing,1k-5k Employees,N/A,82 years old,Manipal,227,1.8k,5,2,32
Ang India,4.0,Consumer Electronics & Appliances,201-500 Employees,Public,45 years old,Noida,227,912,16,1,18
HiyaMee Private Limited,3.1,Recruitment,501-1k Employees,N/A,7 years old,Bengaluru,227,1.7k,12,50,19
SKH Y-TEC,4.0,Auto Components,1k-5k Employees,N/A,10 years old,Becharaji,227,1.2k,15,--,26
